Name,Email,Phone,Age,City,Total Orders,Total Spent,Last Order Date,Tags
"Kabir Reddy","kabir.reddy479@example.com","9692732733",47,"Chennai",11,14377,"2026-03-10","loyal, apparel, deal-hunter"
"Aarav Verma","aarav.verma480@example.com","9847770229",42,"Delhi",12,28848,"2026-02-21","loyal"
"Isha Menon","isha.menon481@example.com","9883074315",41,"Jaipur",21,37191,"2026-02-17","electronics, vip"
"Meera Reddy","meera.reddy482@example.com","9343310864",25,"Surat",0,0,"2026-04-12","grocery, deal-hunter, churn-risk"
"Priya Bhat","priya.bhat483@example.com","9469355535",40,"Bangalore",37,58053,"2026-06-05","deal-hunter"
"Aditya Reddy","aditya.reddy484@example.com","9680887806",48,"Pune",7,8911,"2026-03-16","inactive"
"Siddharth Desai","siddharth.desai485@example.com","9521510823",42,"Chandigarh",2,2470,"2026-02-26","grocery"
"Shreya Kumar","shreya.kumar486@example.com","9794012698",24,"Chandigarh",1,1883,"2026-02-26","grocery, apparel"
"Priya Rao","priya.rao487@example.com","9711868150",27,"Ahmedabad",30,59190,"2026-04-24","deal-hunter, frequent, young"
"Sai Deshmukh","sai.deshmukh488@example.com","9472585948",19,"Kolkata",16,21104,"2026-04-23","vip, deal-hunter"
"Lalit Desai","lalit.desai489@example.com","9644660713",36,"Chandigarh",1,2131,"2026-04-08","loyal"
"Siddharth Joshi","siddharth.joshi490@example.com","9627576722",45,"Chandigarh",28,62692,"2026-04-09","grocery, young, frequent"
"Lalit Menon","lalit.menon491@example.com","9434861615",23,"Mumbai",29,15921,"2026-05-16","electronics"
"Sai Desai","sai.desai492@example.com","9621841804",50,"Delhi",33,47421,"2026-04-04","electronics"
"Vihaan Desai","vihaan.desai493@example.com","9321262469",46,"Delhi",41,92373,"2026-06-09","apparel"
"Siddharth Joshi","siddharth.joshi494@example.com","9216423083",57,"Delhi",49,42581,"2026-02-24","loyal"
"Deepika Kumar","deepika.kumar495@example.com","9218656304",54,"Ahmedabad",7,8603,"2026-05-15","loyal, electronics"
"Sai Rao","sai.rao496@example.com","9995259176",47,"Chandigarh",0,0,"2026-05-26","frequent, electronics"
"Lalit Gupta","lalit.gupta497@example.com","9972477788",29,"Bangalore",29,68005,"2026-03-22","grocery"
"Isha Sharma","isha.sharma498@example.com","9502200240",39,"Chennai",13,19552,"2026-05-06","vip"
"Aarav Singh","aarav.singh499@example.com","9276228370",57,"Chennai",26,52702,"2026-05-31","inactive"
"Vihaan Reddy","vihaan.reddy500@example.com","9967675151",24,"Surat",27,45819,"2026-05-16","inactive"
"Rohan Desai","rohan.desai501@example.com","9866738535",51,"Pune",34,69122,"2026-02-27","deal-hunter, frequent"
"Sai Gupta","sai.gupta502@example.com","9874126144",26,"Chennai",26,41782,"2026-03-21","apparel, loyal, vip"
"Riya Deshmukh","riya.deshmukh503@example.com","9323405954",32,"Ahmedabad",49,77469,"2026-04-03","frequent"
"Sneha Verma","sneha.verma504@example.com","9943962574",18,"Pune",39,56121,"2026-05-31","inactive, grocery"
"Kabir Gupta","kabir.gupta505@example.com","9595208046",43,"Bangalore",12,28212,"2026-03-07","vip, grocery"
"Meera Sharma","meera.sharma506@example.com","9646618747",36,"Hyderabad",27,57402,"2026-04-12","electronics, inactive"
"Kabir Reddy","kabir.reddy507@example.com","9871414552",28,"Pune",23,11684,"2026-05-22","grocery, apparel"
"Vihaan Menon","vihaan.menon508@example.com","9647460905",45,"Chennai",36,30168,"2026-04-09","inactive"
"Lalit Patel","lalit.patel509@example.com","9629588047",38,"Mumbai",4,6312,"2026-05-19","apparel, grocery"
"Shreya Gupta","shreya.gupta510@example.com","9413930352",26,"Bangalore",25,49250,"2026-03-02","vip, young"
"Rohan Bhat","rohan.bhat511@example.com","9520238846",32,"Hyderabad",28,41216,"2026-04-20","young"
"Sai Kumar","sai.kumar512@example.com","9863726268",34,"Kolkata",1,1196,"2026-02-25","inactive, young"
"Sneha Rao","sneha.rao513@example.com","9796242295",57,"Ahmedabad",17,31280,"2026-02-25","churn-risk"
"Siddharth Rao","siddharth.rao514@example.com","9332840478",25,"Surat",31,75485,"2026-03-25","loyal, deal-hunter"
"Rohan Menon","rohan.menon515@example.com","9105620050",36,"Hyderabad",27,55539,"2026-04-08","churn-risk, apparel, deal-hunter"
"Deepika Reddy","deepika.reddy516@example.com","9897001288",21,"Ahmedabad",44,77836,"2026-05-10","churn-risk"
"Tanvi Singh","tanvi.singh517@example.com","9359901386",33,"Ahmedabad",38,49362,"2026-06-04","loyal"
"Isha Joshi","isha.joshi518@example.com","9329465070",43,"Surat",20,22920,"2026-03-13","apparel"
"Aarav Gupta","aarav.gupta519@example.com","9936682995",48,"Mumbai",34,33218,"2026-04-29","churn-risk, young, vip"
"Tanvi Desai","tanvi.desai520@example.com","9424429405",44,"Kolkata",39,81159,"2026-05-27","frequent, churn-risk"
"Isha Kapoor","isha.kapoor521@example.com","9306326189",31,"Ahmedabad",41,26978,"2026-02-24","vip, electronics"
"Diya Gupta","diya.gupta522@example.com","9571396377",29,"Mumbai",3,2190,"2026-03-02","loyal"
"Siddharth Kapoor","siddharth.kapoor523@example.com","9726958009",34,"Chennai",24,56688,"2026-05-09","vip, frequent"
"Lalit Reddy","lalit.reddy524@example.com","9476607335",31,"Jaipur",10,11700,"2026-03-14","apparel"
"Sneha Deshmukh","sneha.deshmukh525@example.com","9961066751",20,"Surat",35,78995,"2026-03-06","churn-risk, vip, frequent"
"Shreya Verma","shreya.verma526@example.com","9280272415",42,"Jaipur",27,53649,"2026-03-06","loyal"
"Neha Kapoor","neha.kapoor527@example.com","9193832498",27,"Chennai",17,20757,"2026-05-03","loyal, deal-hunter"
"Neha Singh","neha.singh528@example.com","9561311237",57,"Ahmedabad",28,63756,"2026-06-09","churn-risk, young"
"Vihaan Joshi","vihaan.joshi529@example.com","9307437819",21,"Kolkata",40,89920,"2026-05-25","electronics"
"Aditya Singh","aditya.singh530@example.com","9540404269",38,"Chennai",25,58725,"2026-04-06","grocery"
"Siddharth Patel","siddharth.patel531@example.com","9802506333",29,"Pune",6,8748,"2026-04-11","churn-risk"
"Shreya Deshmukh","shreya.deshmukh532@example.com","9351939495",24,"Hyderabad",24,57672,"2026-06-09","grocery, young"
"Siddharth Patel","siddharth.patel533@example.com","9835110724",27,"Jaipur",28,42840,"2026-05-12","deal-hunter, grocery, young"
"Vihaan Deshmukh","vihaan.deshmukh534@example.com","9288266478",54,"Mumbai",15,18870,"2026-02-22","frequent, grocery"
"Rohan Patel","rohan.patel535@example.com","9855574586",23,"Kolkata",12,8436,"2026-03-31","loyal, deal-hunter"
"Meera Deshmukh","meera.deshmukh536@example.com","9830680378",36,"Jaipur",28,37436,"2026-05-20","loyal"
"Sneha Joshi","sneha.joshi537@example.com","9477316645",18,"Ahmedabad",20,36040,"2026-05-24","frequent, inactive"
"Ananya Kapoor","ananya.kapoor538@example.com","9855127455",29,"Kolkata",29,53795,"2026-05-20","young, grocery"
"Sneha Patel","sneha.patel539@example.com","9331428892",20,"Chandigarh",16,20624,"2026-06-11","frequent, apparel"
"Sai Sharma","sai.sharma540@example.com","9536061560",48,"Surat",16,14608,"2026-04-29","apparel, churn-risk"
"Riya Menon","riya.menon541@example.com","9660126758",50,"Kolkata",42,47628,"2026-06-12","grocery"
"Deepika Kumar","deepika.kumar542@example.com","9865854256",38,"Kolkata",0,0,"2026-04-19","electronics, churn-risk"
"Arjun Verma","arjun.verma543@example.com","9441101995",43,"Chennai",35,25235,"2026-05-30","loyal, frequent"
"Isha Gupta","isha.gupta544@example.com","9133738836",40,"Kolkata",28,49420,"2026-05-23","inactive"
"Meera Patel","meera.patel545@example.com","9580382133",45,"Surat",4,5372,"2026-05-22","loyal"
"Neha Gupta","neha.gupta546@example.com","9458187733",20,"Ahmedabad",21,44835,"2026-03-14","electronics, young"
"Deepika Desai","deepika.desai547@example.com","9887202033",45,"Ahmedabad",40,46360,"2026-06-11","loyal, electronics, churn-risk"
"Diya Desai","diya.desai548@example.com","9897270021",35,"Pune",36,35100,"2026-03-26","frequent"
"Ananya Sharma","ananya.sharma549@example.com","9416838538",21,"Mumbai",17,16116,"2026-05-08","frequent"
"Neha Kapoor","neha.kapoor550@example.com","9404460904",42,"Pune",41,83927,"2026-05-02","young, deal-hunter, grocery"
"Siddharth Deshmukh","siddharth.deshmukh551@example.com","9905225460",28,"Pune",28,25872,"2026-05-19","loyal"
"Isha Menon","isha.menon552@example.com","9167621749",46,"Delhi",48,93264,"2026-05-17","electronics, deal-hunter"
"Neha Rao","neha.rao553@example.com","9849800356",32,"Pune",28,61460,"2026-05-11","vip"
"Siddharth Menon","siddharth.menon554@example.com","9920714472",42,"Jaipur",4,7064,"2026-04-20","loyal"
"Meera Verma","meera.verma555@example.com","9316380652",30,"Jaipur",0,0,"2026-02-24","vip"
"Ananya Rao","ananya.rao556@example.com","9560938419",26,"Hyderabad",45,65475,"2026-05-29","loyal, inactive"
"Siddharth Deshmukh","siddharth.deshmukh557@example.com","9974101703",47,"Ahmedabad",33,55737,"2026-03-26","frequent, loyal"
"Siddharth Bhat","siddharth.bhat558@example.com","9570970592",29,"Jaipur",21,30828,"2026-05-14","inactive, electronics"
"Tanvi Kumar","tanvi.kumar559@example.com","9392320285",56,"Bangalore",42,25200,"2026-03-29","inactive, churn-risk, frequent"
"Isha Singh","isha.singh560@example.com","9270144807",53,"Pune",26,18564,"2026-04-24","apparel"
"Aditya Desai","aditya.desai561@example.com","9297932937",29,"Hyderabad",36,48204,"2026-05-21","electronics"
"Siddharth Rao","siddharth.rao562@example.com","9189345223",26,"Ahmedabad",48,57408,"2026-04-27","frequent, apparel, inactive"
"Rohan Verma","rohan.verma563@example.com","9449531245",28,"Delhi",8,16792,"2026-04-28","deal-hunter, vip"
"Ananya Verma","ananya.verma564@example.com","9100754455",38,"Chandigarh",21,48888,"2026-03-26","deal-hunter"
"Shreya Desai","shreya.desai565@example.com","9401675678",36,"Kolkata",18,23328,"2026-03-28","churn-risk"
"Deepika Desai","deepika.desai566@example.com","9128218600",42,"Mumbai",45,93780,"2026-06-11","young"
"Priya Gupta","priya.gupta567@example.com","9426975508",45,"Chennai",7,9835,"2026-05-09","deal-hunter, grocery, apparel"
"Sneha Sharma","sneha.sharma568@example.com","9238195554",47,"Bangalore",40,53880,"2026-06-14","apparel"
"Neha Deshmukh","neha.deshmukh569@example.com","9470845455",28,"Hyderabad",46,74658,"2026-06-02","apparel, young, vip"
"Tanvi Desai","tanvi.desai570@example.com","9543206829",38,"Ahmedabad",17,16201,"2026-03-28","deal-hunter"
"Riya Sharma","riya.sharma571@example.com","9295356283",57,"Kolkata",25,38050,"2026-03-07","deal-hunter"
"Tanvi Singh","tanvi.singh572@example.com","9366947551",44,"Hyderabad",10,18240,"2026-02-19","electronics"
"Sai Singh","sai.singh573@example.com","9412724036",31,"Kolkata",26,51948,"2026-05-05","young"
"Sneha Sharma","sneha.sharma574@example.com","9122532248",41,"Pune",43,56287,"2026-03-26","frequent, loyal, apparel"
"Siddharth Kapoor","siddharth.kapoor575@example.com","9942866703",26,"Surat",7,10311,"2026-03-06","frequent, apparel, churn-risk"
"Aarav Kapoor","aarav.kapoor576@example.com","9129487315",33,"Jaipur",41,61254,"2026-05-22","loyal, churn-risk, grocery"
"Tanvi Kumar","tanvi.kumar577@example.com","9675093129",25,"Ahmedabad",16,32224,"2026-04-15","inactive"
"Isha Sharma","isha.sharma578@example.com","9462189293",50,"Ahmedabad",43,57319,"2026-02-23","electronics"
"Tanvi Gupta","tanvi.gupta579@example.com","9653594340",39,"Hyderabad",41,20746,"2026-03-25","inactive, deal-hunter"
"Rohan Desai","rohan.desai580@example.com","9228844728",49,"Surat",36,23508,"2026-05-18","electronics, loyal, vip"
"Aditya Sharma","aditya.sharma581@example.com","9883773333",18,"Jaipur",19,38323,"2026-06-06","loyal, churn-risk"
"Neha Reddy","neha.reddy582@example.com","9871965314",52,"Jaipur",2,4058,"2026-04-08","inactive"
"Lalit Joshi","lalit.joshi583@example.com","9711352126",27,"Chandigarh",48,114672,"2026-04-06","apparel, grocery"
"Lalit Kumar","lalit.kumar584@example.com","9887979484",44,"Bangalore",28,47264,"2026-05-31","churn-risk, loyal, deal-hunter"
"Priya Singh","priya.singh585@example.com","9198025506",40,"Pune",11,15070,"2026-04-29","loyal"
"Kabir Deshmukh","kabir.deshmukh586@example.com","9153252550",32,"Ahmedabad",38,76608,"2026-04-20","inactive"
"Rohan Gupta","rohan.gupta587@example.com","9575832947",50,"Chennai",30,53250,"2026-04-06","frequent"
"Neha Bhat","neha.bhat588@example.com","9556817632",45,"Mumbai",24,15840,"2026-04-24","loyal, apparel"
"Arjun Sharma","arjun.sharma589@example.com","9122673374",25,"Surat",28,30324,"2026-04-29","vip, young"
"Neha Desai","neha.desai590@example.com","9376500928",51,"Kolkata",15,32520,"2026-05-17","inactive"
"Isha Verma","isha.verma591@example.com","9145869843",37,"Bangalore",3,4950,"2026-05-22","deal-hunter, young, electronics"
"Aarav Kumar","aarav.kumar592@example.com","9192670344",23,"Jaipur",17,39627,"2026-05-22","deal-hunter"
"Lalit Patel","lalit.patel593@example.com","9464679315",33,"Chandigarh",43,80152,"2026-06-07","inactive, deal-hunter, grocery"
"Aarav Joshi","aarav.joshi594@example.com","9927154994",57,"Bangalore",38,82878,"2026-03-20","frequent, apparel, churn-risk"
"Lalit Rao","lalit.rao595@example.com","9879939774",37,"Kolkata",37,27158,"2026-04-21","frequent, apparel, electronics"
"Lalit Desai","lalit.desai596@example.com","9453314107",24,"Bangalore",3,6825,"2026-05-09","apparel, grocery, electronics"
"Kabir Menon","kabir.menon597@example.com","9396763769",25,"Bangalore",33,29469,"2026-05-12","churn-risk, inactive, loyal"
"Sneha Deshmukh","sneha.deshmukh598@example.com","9434386862",34,"Hyderabad",10,21490,"2026-02-22","electronics"
"Siddharth Desai","siddharth.desai599@example.com","9853436075",27,"Surat",46,105294,"2026-04-24","deal-hunter, electronics"
